tokenId;minRarity;averageRarity;sumRarity;countsBelow10;countsBelow20;countsBelow50;spots;countsOld;countsMystic;countsNew;ranking
5630;11;78;858;0;2;2;11;0;2;0;189
3146;12;52,42857143;367;0;2;4;7;0;2;2;190
629;12;52,6;263;0;3;3;5;0;2;1;191
618;12;55,75;446;0;3;4;8;2;2;0;192
584;12;59,8;299;0;2;2;5;0;2;0;193
2285;12;60,6;303;0;2;2;5;0;2;0;194
2327;12;62,55555556;563;0;3;4;9;1;2;1;195
5673;12;67,54545455;743;0;3;4;11;1;2;1;196
5190;12;76,5;765;0;2;2;10;0;2;0;197
3614;13;50,2;502;0;4;6;10;1;2;3;198
499;13;59,75;478;0;2;4;8;0;2;2;199
2257;13;64,44444444;580;0;4;4;9;1;2;1;200
3904;13;64,8;648;0;4;4;10;0;2;2;201
202;2;51,44444444;463;2;3;5;9;1;1;3;202
9664;2;61,57142857;431;1;3;3;7;2;1;0;203
5972;2;64,54545455;710;2;4;5;11;2;1;2;204
3162;2;66,54545455;732;1;3;4;11;1;1;2;205
9437;2;70;560;2;2;2;8;1;1;0;206
2747;2;72,63636364;799;1;3;3;11;1;1;1;207
1956;3;36;144;2;2;3;4;1;1;1;208
5731;3;52,8;264;2;2;3;5;1;1;1;209
3684;3;55;440;1;2;4;8;2;1;1;210
3572;3;60,375;483;2;3;3;8;1;1;1;211
8248;3;61;427;2;3;3;7;1;1;1;212
3078;3;61,6;616;1;2;4;10;1;1;2;213
2052;3;65;715;1;3;4;11;1;1;2;214
935;3;65,66666667;394;1;2;2;6;0;1;1;215
4481;3;67,66666667;406;1;2;2;6;0;1;1;216
8132;3;67,81818182;746;2;4;4;11;2;1;1;217
4650;3;70,63636364;777;1;3;4;11;1;1;2;218
3100;3;73,25;293;1;1;1;4;0;1;0;219
9164;3;76,27272727;839;1;1;3;11;0;1;2;220
6620;3;77;308;1;1;1;4;0;1;0;221
2063;3;78,22222222;704;1;2;2;9;0;1;1;222
6814;3;78,27272727;861;2;2;2;11;1;1;0;223
8052;3;87,875;703;1;1;1;8;0;1;0;224
264;4;27;108;3;3;3;4;2;1;0;225
5402;4;32,4;162;2;3;4;5;1;1;2;226
3145;4;37,5;225;1;4;4;6;0;1;3;227
1357;4;38,33333333;230;2;2;4;6;2;1;1;228
7102;4;46,63636364;513;3;4;7;11;4;1;2;229
9060;4;48,57142857;340;1;1;4;7;1;1;2;230
5260;4;51,25;205;1;2;2;4;1;1;0;231
6748;4;51,8;259;1;1;3;5;0;1;2;232
7267;4;54,375;435;2;3;4;8;1;1;2;233
2611;4;54,45454545;599;3;4;5;11;2;1;2;234
1779;4;56;616;2;3;6;11;1;1;4;235
8462;4;56;448;1;1;4;8;0;1;3;236
7115;4;57,11111111;514;2;3;5;9;2;1;2;237
6210;4;57,16666667;343;1;3;3;6;2;1;0;238
153;4;58;348;1;1;3;6;0;1;2;239
1631;4;60,90909091;670;3;3;5;11;2;1;2;240
239;4;62,4;624;1;2;4;10;1;1;2;241
1427;4;63,25;253;1;1;2;4;1;1;0;242
9203;4;63,81818182;702;1;3;5;11;1;1;3;243
3004;4;64,81818182;713;1;4;5;11;2;1;2;244
32;4;65,8;658;2;3;4;10;2;1;1;245
93;4;66,1;661;2;4;4;10;3;1;0;246
7431;4;67,28571429;471;1;1;2;7;0;1;1;247
7884;4;67,4;674;2;3;4;10;2;1;1;248
2146;4;68,27272727;751;2;2;4;11;1;1;2;249
8138;4;68,83333333;413;1;1;2;6;0;1;1;250
1168;4;69,66666667;418;1;2;2;6;0;1;1;251
8308;4;70,55555556;635;1;2;3;9;1;1;1;252
5969;4;70,66666667;636;1;3;3;9;2;1;0;253
8028;4;71;781;1;2;3;11;0;1;2;254
8015;4;71,66666667;430;1;2;2;6;1;1;0;255
7260;4;72,9;729;1;3;3;10;0;1;2;256
1016;4;73,25;586;1;1;2;8;0;1;1;257
5486;4;73,44444444;661;1;2;3;9;1;1;1;258
1572;4;74,125;593;1;2;3;8;1;1;1;259
4175;4;74,44444444;670;1;1;2;9;0;1;1;260
830;4;77,27272727;850;1;1;2;11;0;1;1;261
5453;4;81;486;1;1;1;6;0;1;0;262
5560;4;81,36363636;895;1;1;2;11;1;1;0;263
3203;4;82,42857143;577;1;1;1;7;0;1;0;264
3981;4;84;420;1;1;1;5;0;1;0;265
9567;4;95,7;957;1;1;1;10;0;1;0;266
869;5;28,6;143;1;4;4;5;3;1;0;267
1087;5;30,75;123;1;3;3;4;1;1;1;268
982;5;31,5;189;1;3;5;6;3;1;1;269
1798;5;34;136;2;2;3;4;1;1;1;270
6761;5;42,33333333;254;1;3;4;6;2;1;1;271
5924;5;42,42857143;297;3;3;4;7;2;1;1;272
7177;5;42,63636364;469;2;5;7;11;1;1;5;273
5391;5;43,75;350;1;2;5;8;1;1;3;274
2788;5;44;396;2;5;6;9;2;1;3;275
7255;5;47,55555556;428;2;3;5;9;2;1;2;276
2946;5;48,42857143;339;1;3;4;7;0;1;3;277
7760;5;49,85714286;349;1;4;4;7;2;1;1;278
3872;5;50,125;401;2;3;5;8;1;1;3;279
1396;5;50,2;251;1;2;3;5;1;1;1;280
297;5;50,44444444;454;2;3;5;9;2;1;2;281
1171;5;51,83333333;311;2;3;3;6;2;1;0;282
3650;5;52,625;421;1;3;4;8;2;1;1;283
9369;5;52,75;211;2;2;2;4;1;1;0;284
7724;5;53;424;3;3;4;8;2;1;1;285
4172;5;53,85714286;377;1;2;4;7;1;1;2;286
4648;5;55;330;1;2;3;6;0;1;2;287
3595;5;56,63636364;623;2;3;5;11;2;1;2;288
385;5;57,90909091;637;1;2;5;11;2;1;2;289
7104;5;58;464;1;3;3;8;2;1;0;290
1107;5;58,42857143;409;2;2;3;7;1;1;1;291
3349;5;58,42857143;409;1;2;3;7;0;1;2;292
6446;5;58,6;586;2;3;5;10;2;1;2;293
5390;5;60,11111111;541;2;4;4;9;3;1;0;294
8503;5;60,63636364;667;1;2;5;11;1;1;3;295
1836;5;60,8;608;1;3;5;10;2;1;2;296
2538;5;61;305;1;1;2;5;0;1;1;297
5055;5;61,25;245;1;1;2;4;0;1;1;298
3996;5;61,54545455;677;1;3;5;11;0;1;4;299
5546;5;61,85714286;433;2;3;3;7;2;1;0;300
1850;5;63,18181818;695;2;4;4;11;2;1;1;301
